action,course_number,current_title,proposed_title,coi_context_snippet,course_id
UPDATE,Beh Sci 332,Sem hrs: 3 fall,,Beh Sci 332.  Sem hrs: 3 fall.  This course is a contributor to the development and assessment of the Critical Thinking Academy outcome through departmental reinforcement within our major.    Beh Sci 499.  Independent Study.  3(0). ,0af43e1e-3c4d-4505-8db0-18d01c4bef87
UPDATE,Chinese 365,Sem hrs: 3 fall of even years,,Chinese 365.  Sem hrs: 3 fall of even years.     German 430. German Cinema. (3)1. Introduction to film analysis and a survey of German film history from its beginnings to today. Study of masterpieces of German film in order to devel,9d4c5ca7-3e39-4791-afb5-bc10d0721b88
UPDATE,French 365,Sem hrs: 3 spring of even years,,"French 365.  Sem hrs: 3 spring of even years.      German 431. German Art and Media. 3(1). Exploration of major trends and tensions that have informed media and the arts (e.g. visual art, photography, architecture, music, dance, te",ea216735-65dc-4243-9670-0cc74c8e5a88
UPDATE,German 365,Sem hrs: 3 spring of even years,,"German 365. Sem hrs: 3. spring of even years.    Russian 411.  The Era of the Soviet Union.  3(1).  A survey of the major events, individuals, and institutions of the period roughly from the October Revolution in 1917 to the disint",1190436d-f001-47aa-8cb2-1f1a691098a5
UPDATE,Math 243,Sem hrs: 3 fall,,"Math 243.    Core Requirements Checklists    Athletic Department Requirements  Cadets must pass Phy Ed 100, Basic Physical Training, during Basic Cadet Training, participate in a competitive experience (intramurals, clubs, or int",456ddba1-469b-4c3a-8d73-3963c6e66968
UPDATE,Math 374,Sem hrs: 3 spring,,Math 374.  Sem hrs:  3 spring.    Comp Sci 385.  Software Dev for Mobile Devices.  3(1).  Introduces the design and development of applications (apps) for mobile devices.  Mobile device topics include runtime environments; human ,4aa89472-0566-4aee-9604-65d51f485adc
UPDATE,Portuguese 365,Sem hrs: 3 fall of even years,,Portuguese 365.  Sem hrs: 3 fall of even years.    For Lang 495.  Special Topics.  3(1).  Selected topics in foreign languages.  Final exam or final report.  Prereq: Department approval.  Sem hrs: 3 fall or spring.    For Lang 499.  In,943907fc-c462-413b-bc7b-a45212a292a7
UPDATE,Russian 365,Sem hrs: 3 spring of even years,,"Russian 365.  Sem hrs:  3 spring of even years.    For Lang 420. 3(1). Survey of important writers, their works, and influences on their societies. Students are provided cultural insights through literature. Discussions are conducte",86bce790-7d6e-4bff-9740-b2047c5fb35c
UPDATE,Spanish 365,Sem hrs: 3 spring,,"Spanish 365.  Sem hrs:  3 spring.    Chinese 430. Exploring Chinese Culture through Formulaic Expressions. 3(1). This course helps the advanced language learners explore Chinese formulaic expressions, which is a significant part of ",d7bceb3f-6788-41d9-8233-29059b76f36a
