action,course_number,new_title,course_id,prereq_numbers_semicolon,coreq_numbers_semicolon,notes
UPDATE,Beh Sci 498,, ,BEH SCI 332,,manual-safe prereq add from COI
UPDATE,Econ 350,, ,ECON 201,,manual-safe prereq add from COI (recommended prereq ignored)
