action,course_number,new_title,course_id
UPDATE,Aviation 400,Instructor Assistant Practicum,
UPDATE,Civ Engr 377,Forest Service Bridge Construction Planning,
UPDATE,Ldrshp 200,Foundations for Interpersonal Leadership,
UPDATE,Ldrshp 300,Foundations for Team Leadership,
UPDATE,Math 141,Calculus I,
UPDATE,Phy Ed 111,Swimming,
UPDATE,Phy Ed 215,Combatives I,
UPDATE,Sys Engr 491,Systems Engineering Capstone Design I,
